"","Depth","Yearmarker","YEsin","YEweight","YEcount","YE18O","YEcombined","peakID"
"sample 1",0.75,0,0.489532142026078,0,0,0,0.0296106385357571,0
"sample 2",1.5,0,0.45091745791453,0,0,0,0.0155444528302296,0
"sample 3",2.25,0,0.415586165846445,0,0,0.014529091286974,0.00796682721958121,0
"sample 4",3,0,0.405824136041088,0,0,0.125744625914449,0.0449233341064974,0
"sample 5",3.75,0,0.4526284063972,0,0,0.322697556478732,0.133716862633134,0
"sample 6",4.5,0,0.659334288304782,0,0,0.560268340127662,0.295553693003098,0
"sample 7",5.25,0,0.741071182116433,0.157894736842105,0.454545454545455,0.784032373365578,0.629932454237471,0
"sample 8",6,0,0.792306087749234,0.315789473684211,0.545454545454546,0.942728012826605,0.797035799154308,0
"sample 9",6.75,0,0.827562486587002,0.315789473684211,0.545454545454546,1,0.830741149608709,1
"sample 10",7.5,1,0.851462842867498,0.333333333333333,0.545454545454546,0.942728012826605,0.824975561342431,0
"sample 11",8.25,0,0.863147798742027,0.333333333333333,0.545454545454546,0.784032373365578,0.771423923575549,0
"sample 12",9,0,0.857973499868171,0.315789473684211,0.545454545454546,0.560268340127662,0.681637761596374,0
"sample 13",9.75,0,0.628167719969409,0.175438596491228,0.545454545454546,0.322697556478732,0.460260655024455,0
"sample 14",10.5,0,0.337813831543663,0,0.454545454545455,0.12574462591445,0.185726640604697,0
"sample 15",11.25,0,0.175067793848484,0,0.545454545454546,0.0145290912869741,0.119046043400207,0
"sample 16",12,0,0.104619886985554,0,0.727272727272727,0,0.154322418301683,0
"sample 17",12.75,0,0.108795434552993,0,0.818181818181818,0,0.188958935816372,0
"sample 18",13.5,0,0.196455770820759,0.0350877192982456,0.909090909090909,0,0.266787906032732,0
"sample 19",14.25,0,0.32746393007261,0.192982456140351,0.636363636363636,0,0.272680206524461,0
"sample 20",15,0,0.575182631109941,0.192982456140351,0.727272727272727,0,0.396032281419373,0
"sample 21",15.75,0,0.791508791486195,0.245614035087719,0.727272727272727,0,0.494005619679402,0
"sample 22",16.5,0,0.905754813506893,0.350877192982456,0.727272727272727,0,0.573966312348519,0
"sample 23",17.25,1,0.981325657483361,0.350877192982456,0.727272727272727,0.95048443395121,0.947727859685661,0
"sample 24",18,0,0.949503149204958,0.333333333333333,0.727272727272727,0.811744900929367,0.879206451419937,1
"sample 25",18.75,0,0.900545427036643,0.350877192982456,0.727272727272727,0.611260466978157,0.794732770539233,0
"sample 26",19.5,0,0.680049534750931,0.12280701754386,0.727272727272727,0.388739533021843,0.550275652544005,0
"sample 27",20.25,0,0.365167720975691,0,0.727272727272727,0.188255099070633,0.31780803386134,0
"sample 28",21,0,0.156212834303496,0,0.636363636363636,0.0495155660487905,0.158037765809483,0
"sample 29",21.75,0,0.0436594045041976,0,0.545454545454546,0,0.0658853416830531,0
"sample 30",22.5,0,0,0,0.545454545454546,0,0.0499815137564867,0
"sample 31",23.25,0,0.0749922089179938,0,0.545454545454546,0,0.0772989542944177,0
"sample 32",24,0,0.254241715760557,0.140350877192982,0.636363636363636,0,0.226835397264384,0
"sample 33",24.75,0,0.513745105697815,0.210526315789474,0.545454545454546,0,0.313812140634507,0
"sample 34",25.5,0,0.756978994104016,0.298245614035088,0.727272727272727,0,0.500599562552567,0
"sample 35",26.25,0,0.889212001218595,0.403508771929825,0.727272727272727,0,0.587112381140471,0
"sample 36",27,0,0.971161131520882,0.298245614035088,0.727272727272727,0,0.578619771419469,0
"sample 37",27.75,1,0.957248863956211,0.298245614035088,0.727272727272727,0.942728012826605,0.916959837113932,0
